#zero_crossing_rate,spectral_centroid,spectral_contrast,spectral_bandwidth,spectral_flatness,spectral_rolloff,tempo,mfcc[0],mfcc[1],mfcc[2],mfcc[3],mfcc[4],mfcc[5],mfcc[6],mfcc[7],mfcc[8],mfcc[9],mfcc[10],mfcc[11],mfcc[12],mfcc[13],mfcc[14],mfcc[15],mfcc[16],mfcc[17],mfcc[18],mfcc[19],label
0.03988449,742.6595496,24.45455018,958.2742778,1.43E-05,1395.541561,0.235949856,-254.3563538,185.6060486,-14.99053097,36.44146347,6.774540901,7.684987545,9.459870338,2.906707287,2.930012465,-3.607987165,4.696374416,-1.442343831,1.495833039,2.21175313,-0.708547294,2.944543123,-0.757776797,-3.157002449,-0.388486415,5.237425804,1
0.042638442,848.6590656,24.34021293,1063.720016,4.18E-05,1583.723757,0.241645949,-259.1142883,180.0493317,-8.503568649,43.71226501,0.182100698,18.44619751,-1.358270526,-9.969501495,13.10107422,-0.176059306,1.931242347,-2.089759111,0.005652389,-1.270730376,0.422514826,2.269967556,-2.326972246,0.399102986,-1.09021616,-1.1289078,1
0.04500672,870.9222714,24.01192337,1065.048712,3.77E-05,1657.177479,0.231386165,-236.9979858,194.9371185,-23.38181114,46.73205948,-5.377220154,21.61291885,-2.624357939,-12.73697186,13.83146572,-1.655464649,2.377779961,-2.141169786,1.036883235,-0.948641479,0.13101466,-1.036501169,-2.145855904,2.554622412,-2.643670797,-0.603028536,1
0.048823212,943.3291607,24.58802222,1079.186166,8.75E-05,1748.431094,0.234532545,-263.0736694,177.23172,-25.32294846,32.86231232,-3.259097338,22.10001373,2.217565536,-19.92906952,9.568321228,-3.821014404,-8.222704887,-3.985188246,-2.300060272,-4.208266258,-3.292381048,-3.936757803,-3.102161884,-0.371041507,-4.731226921,-5.497991085,1
0.034372619,709.4511419,23.04127554,994.1923736,2.45E-05,1380.062488,0.159669121,-332.2849426,173.316803,0.941737115,34.28486252,13.03726959,11.48554516,6.11920166,2.257506847,6.194022179,-0.297962457,4.354451656,-1.36949563,0.726758957,2.357639551,-2.955763578,-2.828692913,-1.584684134,-2.517739773,-4.253678322,0.800348639,1
0.041989542,835.847472,23.17868872,1100.843158,4.09E-05,1687.802294,0.133937144,-345.8088379,173.9906006,-13.40561771,45.81223297,2.108747721,11.24924564,1.800121069,-1.180504441,9.49510479,-0.365930885,9.198583603,-2.675026655,-0.60049051,1.307310462,-4.548413277,-5.401284695,-3.666881084,-0.905578494,-5.941276073,0.758759379,1
0.036037575,764.505853,22.35935317,1017.200692,2.47E-05,1549.536463,0.18779709,-290.0292358,186.1381073,-16.17022705,38.68657684,7.133028507,10.26514721,7.482709885,5.825603485,8.939619064,-1.905775905,3.530931711,-3.702182531,2.2108531,0.9908849,-3.838502884,-4.215660572,-4.76952219,-2.001831293,-5.164756298,0.698069572,1
0.042070985,890.4775419,23.58141823,1124.769615,2.53E-05,1872.838675,0.223020495,-253.1221924,179.3090057,-32.3336792,50.19067383,3.133466959,12.99069691,6.078005791,3.794965267,6.344741821,-3.727495193,4.858868599,-6.811536312,3.19329977,1.259729743,-4.385962009,-6.992385387,-6.84928751,0.152185917,-4.670332432,0.525993109,1
0.049074911,936.2739443,23.33302719,1122.452479,2.73E-05,1974.471394,0.226798498,-235.2379303,184.5163879,-40.65219498,49.2849617,2.614199162,12.17504311,7.351441383,3.968852758,5.66374445,-5.387050152,4.847946644,-5.897246838,5.44032383,3.20524168,-1.918346882,-0.937273979,-4.09563446,0.501174986,-3.83229208,1.195554495,1
0.058414046,1059.938036,24.22426343,1214.739378,0.000183757,2240.153121,0.240937175,-246.258606,175.6541748,-43.05973816,55.75742722,-3.655273438,12.19279575,4.502532959,2.829810858,6.03179121,-5.211955547,6.697331905,-7.232048512,7.057277203,3.442289114,-1.678080797,1.522132158,-1.645390511,3.931304932,-0.819015563,3.023941755,1
0.052474361,1002.050764,23.72286784,1166.216048,3.26E-05,2067.362499,0.237835728,-211.2816315,176.7281647,-37.70598602,43.74608231,-1.42771852,14.24605465,4.907122612,5.70888567,5.3292346,-1.635694981,6.525978088,-6.040952682,6.035006523,1.176393151,-1.929742336,-0.880742908,-2.175225735,-0.270405024,-2.171297073,1.513821363,1
